Timestamp,Tweet Text,Gender,Account,Latitude,Longitude,#NAME?,#NAME?,Language,Tension,Numeric Tension
24/02/2016 14:16,RT @Drudge_Report_: #Trump Has Won More Votes Than #Romney At This Point '12...And many more than #McCain '08... https://t.co/uamxQe3fQf,FEMALE,sMJennyKirshc,0,0,1,-1,EN,IRRELEVANT,0
24/02/2016 14:16,Do something NOW #GOP or risk eternal ignominy!  Nevada shows #Trump must be stopped. There are two steps https://t.co/4hpikRRceJ via @BV,MALE,chilangagringa,0,0,2,-2,EN,IRRELEVANT,0
24/02/2016 14:16,"RT @amrightnow: ""The Real Trump"" Trump About You"" Watch Make #1 https://t.co/j58e8aacrE #tcot #pjnet #1A #2A #Trump #trump2016 https://t.co…",UNISEX,CtBrokerRoks,0,0,1,-1,EN,IRRELEVANT,0
24/02/2016 14:16,"RT @Campaign_Trump: The GOP Establ didn't mind losing to Obama, China, or at SCOTUS. So why do they mind losing to #Trump? https://t.co/3Q1…",MALE,satirist_indian,0,0,1,-3,EN,IRRELEVANT,0
24/02/2016 14:16,RT @DaleMoss2: Univision conducting 3 million new voter drive. How many #Trump voters in that block? https://t.co/KwqOVoRpBD,UNKNOWN,cranevl,0,0,1,-2,EN,IRRELEVANT,0
24/02/2016 14:16,RT @Doodisgirl: Has @realDonaldTrump merely tapped into voter's anger or has the substance &amp; strength of his message hit a home run with th…,UNKNOWN,_Stars_Stripes_,0,0,1,-4,EN,IRRELEVANT,0
24/02/2016 14:16,RT @RTenfrancais: Nouvelle victoire de #Trump : la rock-star politique acclamÃ©e par ses partisans &gt;&gt; https://t.co/81l5QSushN https://t.co/v…,UNKNOWN,Tyranosaure2,0,0,2,-1,FR,IRRELEVANT,0
24/02/2016 14:16,ãƒªãƒªã‚¦ãƒ æ„Ÿè¬?ç¥­ã?¨ãƒˆãƒ©ã‚¤ã‚¢ãƒ³ã‚°ãƒ«æ„Ÿè¬?ç¥­ã€?ã€†åˆ‡ã?‚ã?¨ï¼”ï¼”åˆ†ï¼?æ€¥ã?„ã?§ï¼?ã€?e-LineUP!ã€‘BS-TBS é–‹å±€15å‘¨å¹´ç‰¹åˆ¥ä¼?ç”» ã‚¯ãƒ¼ãƒ«ã‚¸ãƒ£ãƒ‘ãƒ³ ï½žé?“ï½žDVDå?—æ³¨ç· åˆ‡ã‚Šé–“è¿‘ï¼? https://t.co/oGwqewQFx1 #TRUMP #SPECTER #ç¹­æœŸ #ãƒªãƒªã‚¦ãƒ å°‘å¥³ç´”æ½”æ­ŒåŠ‡,UNKNOWN,umapug,0,0,2,-1,JA,IRRELEVANT,0
24/02/2016 14:16,@glennbeck claims to know what a 'brownshirt' is! This guy is too irrelevant! https://t.co/jc19utUR0a,UNISEX,The_BirdsWord,0,0,2,-1,EN,SOME_TENSION,1
24/02/2016 14:16,"RT @sethkugel: #Trump releases education policy in #Nevada victory speech: ""We won the poorly educated. I love the poorly-educated.""",UNKNOWN,NevadaLovers,0,0,3,-2,EN,IRRELEVANT,0
24/02/2016 14:16,"RT @BrexitMania: It the people want #Trump that is their decision. It's not for the #BBC to try to influence.

https://t.co/wwiqVQNs57",FEMALE,Bohoover,0,0,1,-1,EN,IRRELEVANT,0
24/02/2016 14:16,A look at the scheduled Syrian peace talks in Geneva https://t.co/AWBw8pOIy3 #startups #trending #Fashion #trump,FEMALE,AmericaKings,0,0,1,-1,EN,IRRELEVANT,0
24/02/2016 14:16,"RT @amrightnow: ""The Real Trump"" Trump About You"" Watch Make #1 https://t.co/j58e8aacrE #tcot #pjnet #1A #2A #Trump #trump2016 https://t.co…",UNISEX,CtBrokerRoks,0,0,1,-1,EN,IRRELEVANT,0
24/02/2016 14:16,RT @Campaign_Trump: #Texas we are coming. Please give #Trump a big welcome. We are going to make this country greater than ever before. htt…,UNKNOWN,CvStryker,0,0,3,-1,EN,IRRELEVANT,0
24/02/2016 14:16,"#Trump's voter base.
#VoteBlueNoMatterWho https://t.co/yoNgMX3zUl",UNKNOWN,Yombe,0,0,1,-1,EN,IRRELEVANT,0
24/02/2016 14:16,wonder how long it takes to gain citizenship if one marries an American? Does money buy citizenship?  https://t.co/yjaZU7YK9z,UNKNOWN,tohajilee,0,0,1,-1,EN,IRRELEVANT,0
24/02/2016 14:16,"RT @ReaganiteGOPer: #Trump Takes #NVcaucus  w/ Aid of Slander, Voter Fraud, Intimidation + Generous Donations to Harry Reid https://t.co/Np…",UNKNOWN,starrick1,0,0,2,-4,EN,IRRELEVANT,0
24/02/2016 14:16,"RT @amrightnow: ""The Real Trump"" Trump About You"" Watch Make #1 https://t.co/j58e8aacrE #tcot #pjnet #1A #2A #Trump #trump2016 https://t.co…",UNISEX,CtBrokerRoks,0,0,1,-1,EN,IRRELEVANT,0
24/02/2016 14:16,"Help me! Help you! 

The #GOP #Presidential race is taking on a life truly of it own. #Trump,… https://t.co/CVaJAD1rZE",UNKNOWN,iLife_Credit,40.9415,-73.8644,2,-1,EN,IRRELEVANT,0
24/02/2016 14:16,"RT @JudgeMoroz: Americans who never Voted before are excited &amp; hopeful &amp; ready to #MakeAmericaGreatAgain!

@realDonaldTrump ðŸ‡ºðŸ‡¸ https://t.co…",FEMALE,Sternl63,0,0,3,-1,EN,IRRELEVANT,0
